ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,VARNAME_2,NL_NAME_2,HASC_2,CC_2,TYPE_2,ENGTYPE_2,VALIDFR_2,VALIDTO_2,REMARKS_2,Shape_Leng,Shape_Area
"157",MWI,Malawi,"1968",Mzimba,"22880",TA Mzukuzuku,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.74432305351,0.02221565669
"157",MWI,Malawi,"1968",Mzimba,"22881",Vwaza Marsh Game Reserve - Mzimba,,,,,Reserve,Reserve,Unknown,Unknown,,0.60406845547,0.01268522869
"157",MWI,Malawi,"1969",Nkhata Bay,"22882",Lake Malawi,,,,,Water body,Water body,Unknown,Unknown,,5.17433556692,0.65182504138
"157",MWI,Malawi,"1969",Nkhata Bay,"22883",SC Fukamalaza,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.40848935368,0.00374614443
"157",MWI,Malawi,"1969",Nkhata Bay,"22884",SC Malanda,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.56568167260,0.01405266667
"157",MWI,Malawi,"1969",Nkhata Bay,"22885",SC Nyaluwanga,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.57039144334,0.00928977298
"157",MWI,Malawi,"1969",Nkhata Bay,"22886",SC Zilakoma,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.93151781249,0.03947548314
"157",MWI,Malawi,"1969",Nkhata Bay,"22887",TA Fukamapiri,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.65475764063,0.01770691303
"157",MWI,Malawi,"1969",Nkhata Bay,"22888",TA Kabunduli,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,2.04888220267,0.14147034110
"157",MWI,Malawi,"1969",Nkhata Bay,"22889",TA Malenga Mzoma,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.26627131025,0.00333553860
"157",MWI,Malawi,"1969",Nkhata Bay,"22890",TA Musisya,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.13935197456,0.03632147376
"157",MWI,Malawi,"1969",Nkhata Bay,"22891",TA Timbiri,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.14352235599,0.02849911837
"157",MWI,Malawi,"1970",Nkhotakota,"22892",Lake Malawi,,,,,Water body,Water body,Unknown,Unknown,,3.57805439782,0.29574915303
